Name,Slug,Severity,Summary,Rule JSON,LC Rule Name / Rule Message,LC Issue Description,LC Possible Fix (Suggested Fix),Current Category,Snippets,Tags/0,Tags/1,Tags/2,Tags/3
OpenAPI V3 - Info X Audience,openapi-v3-info-x-audience,error,"This is a Spectral governance rule to enforce that the OpenAPI info has an audience extension. Here is a JSON version of the rule that can be applied using this API-driven collection API, or at CLI or CI/CD pipeline.","{""description"":""Ensures that all OpenAPIs have a information object audience extension."",""message"":""The info object should have an audience extension."",""severity"":""error"",""given"":""$.info"",""then"":{""field"":""x-audience"",""function"":""truthy""}}",The info object should have an audience extension,"Your API schema's info object doesn't contain an audience extension (x-audience), which is a custom header used to describe an API's target audience.","Although an audience extension isn't required, including it provides your users with important information about the API. Add an audience extension to your API schema's info object.",API Information,,Audience,Extensions,,
OpenAPI V3 - No Empty Paths,openapi-v3-no-empty-paths,error,"This is a Spectral governance rule to make sure that there are no empty paths in an OpenAPI. Here is a JSON version of the rule that can be applied using this API-driven collection API, or at CLI or CI/CD pipeline.","{""description"":""Ensures that there are no empty paths."",""message"":""There should be no empty paths."",""documentationUrl"":""https://opensource.zalando.com/restful-api-guidelines/#136"",""severity"":""error"",""given"":""$.paths.*~"",""then"":{""function"":""pattern"",""functionOptions"":{""notMatch"":""//""}}}",There should be no empty paths,Your API schema contains one or more empty path item objects in the paths object. <!-- TODO: confirm that this is correct - might be the paths object instead? -->,"Although you can leave a path item object empty due to access-control list (ACL) constraints, this doesn't provide your users with a good experience. Add details for any empty path item objects in your API schema.",API Information,,Paths,,,
OpenAPI V3 - No Trailing Slash on Paths,openapi-v3-no-trailing-slash-on-paths,error,"This is a Spectral governance rule to make sure that there are no trailing slashes on paths in an OpenAPI. Here is a JSON version of the rule that can be applied using this API-driven collection API, or at CLI or CI/CD pipeline.","{""description"":""Ensures that there are no trailing slashes on paths."",""message"":""There should be no trailing slashes on paths."",""severity"":""error"",""given"":""$.paths.*~"",""then"":{""function"":""pattern"",""functionOptions"":{""notMatch"":""/$""}}}",There should be no trailing slashes on paths,One or more path item objects in your API schema's paths object have a trailing slash at the end of the path.,"Some tools treat a path that ends with a trailing slash (/path/) differently from way that they treat paths without a trailing slash (/path). To avoid any ambiguity, remove any trailing slashes from paths in your API schema's paths object.",API Information,,Paths,,,
OpenAPI V3 - Tags Object,openapi-v3-tags-object,error,"This is a Spectral governance rule to make sure that there is a central tag object within OpenAPI definitions. Here is a JSON version of the rule that can be applied using this API-driven collection API, or at CLI or CI/CD pipeline.","{""description"":""Ensuring that there are tags being applied."",""message"":""You should have a central tags object."",""given"":""$"",""severity"":""error"",""then"":{""field"":""tags"",""function"":""truthy""}}",There should be a central tags object,Your API schema doesn't contain a root-level tags object.,"The tags object lists all the tags used in the schema's operation objects, providing users with important context. Add a tags object to your API schema.",API Information,,Tags,,,
OpenAPI V3 - Tags Description,openapi-v3-tags-description,error,"This is a Spectral governance rule to make sure that all tags have a description within OpenAPI definitions. Here is a JSON version of the rule that can be applied using this API-driven collection API, or at CLI or CI/CD pipeline.","{""description"":""Ensuring that all tags have a description."",""message"":""All tags should have a description."",""given"":""$.tags[*]"",""severity"":""error"",""then"":{""field"":""description"",""function"":""truthy""}}",All tags should have a description,One or more tags in your API schema's tags object don't have an accompanying description.,Tag descriptions enable you to provide your users with important context. Add a description for every tag in the tags object.,API Information,,Tags,,,
OpenAPI V3 - Tags One,openapi-v3-tags-one,error,"This is a Spectral governance rule to make sure that there is at least one tag within OpenAPI definitions. Here is a JSON version of the rule that can be applied using this API-driven collection API, or at CLI or CI/CD pipeline.","{""description"":""Ensuring that there is at least on tag being applied."",""message"":""You should have at least one tag."",""given"":""$"",""severity"":""error"",""then"":{""field"":""tags"",""function"":""length"",""functionOptions"":{""min"":1}},""type"":""style""}",There should be at least one tag,Your API schema's tags object doesn't contain any tags.,Tags enable you to provide your users with important context. Add at least one tag to your schema's tags object.,API Information,,Tags,,,
OpenAPI V3 - Operations Description,openapi-v3-operations-description,error,"This is a Spectral governance rule to make sure that some words are never used in the description of operations within an OpenAPI. Here is a JSON version of the rule that can be applied using this API-driven collection API, or at CLI or CI/CD pipeline.","{""description"":""Ensures that each of the operations have a description."",""message"":""Your operations all need descriptions."",""severity"":""error"",""given"":""$.paths.*[get,post,patch,put,delete]"",""then"":[{""field"":""description"",""function"":""truthy""}]}",Your operations all need descriptions,One or more operation objects in your API schema doesn't have a description.,A verbose explanation of the operation's behavior provides your users with important context. Add a description for each operation object.,API Operations,,Operations,,,
OpenAPI V3 - Operations Summary,openapi-v3-operations-summary,error,"This is a Spectral governance rule to make sure that all operations have summaries. Here is a JSON version of the rule that can be applied using this API-driven collection API, or at CLI or CI/CD pipeline.","{""description"":""Ensures that each of the operations for an API have a summary."",""message"":""All of your operations need summaries."",""severity"":""error"",""given"":""$.paths.*[get,post,patch,put,delete]"",""then"":[{""field"":""summary"",""function"":""truthy""}]}",All of your operations need summaries,One or more operation objects in your API schema doesn't have a summary.,A short summary of what the operation does provides your users with important context. Add a summary for each operation object.,API Operations,,Operations,,,
OpenAPI V3 - Operations Summary Period None,openapi-v3-operations-summary-period-none,error,"This is a Spectral governance rule to make sure that operation summaries do not have a ending period. Here is a JSON version of the rule that can be applied using this API-driven collection API, or at CLI or CI/CD pipeline.","{""severity"":""error"",""description"":""Ensures that each of the operations summaries do not have an ending period."",""message"":""Your operations summaries should not end with a period."",""given"":""$.paths[*][*].summary"",""then"":{""function"":""pattern"",""functionOptions"":{""notMatch"":""\\.$""}}}",Your operations summaries should not end with a period,One or more operation objects in your API schema contains a summary that ends with a period (.).,Remove the final period from all summaries at the operations object level in your API schema.,API Operations,,Operations,,,
OpenAPI V3 - Operations Tags,openapi-v3-operations-tags,error,"This is a Spectral governance rule to make sure that all operations have a tags property. Here is a JSON version of the rule that can be applied using this API-driven collection API, or at CLI or CI/CD pipeline.","{""description"":""Ensures that each of the operations have a tags property."",""message"":""All of your operations need to have tags."",""severity"":""error"",""given"":""$.paths.*[get,post,patch,put,delete]"",""then"":[{""field"":""tags"",""function"":""truthy""}]}",All of your operations need to have tags,One or more operation objects in your API schema does not contain a tags array.,Operation tags can be used to create logical groupings of operations in API documentation. Add a tags array for each operation object.,API Operations,,Operations,Tags,,
OpenAPI V3 - Operations Tags One,openapi-v3-operations-tags-one,error,"This is a Spectral governance rule to make sure that all operations have at least one tag. Here is a JSON version of the rule that can be applied using this API-driven collection API, or at CLI or CI/CD pipeline.","{""description"":""Ensures that each of the operations have at least one tag."",""message"":""All of your operations need to have at least one tag."",""given"":""$"",""severity"":""error"",""then"":{""field"":""tags"",""function"":""length"",""functionOptions"":{""min"":1}},""type"":""style""}",All of your operations need to have at least one tag,"One or more operation objects in your API schema contains a tags array, but the array does not contain any items.",Operation tags can be used to create logical groupings of operations in API documentation. Add at least one tag to the tags array for each operation object.,API Operations,,Operations,Tags,,
OpenAPI V3 - Parameters Description,openapi-v3-parameters-description,warn,"This is a Spectral governance rule to make sure that all parameters have a description in an OpenAPI. Here is a JSON version of the rule that can be applied using this API-driven collection API, or at CLI or CI/CD pipeline.","{""description"":""Ensures that that all parameters have a descriptions."",""message"":""Your parameters all need descriptions."",""given"":""$.paths.*.*.parameters[?(@.in=='query')]"",""then"":{""field"":""description"",""function"":""truthy""}}",Your parameters all need descriptions,One or more parameter objects in an operations object in your API schema doesn't contain a description field.,A brief description of the parameter provides your users with important context. Add a description field for each parameter object.,API Operations,,Parameters,,,
OpenAPI V3 - Parameters Example,openapi-v3-parameters-example,warn,"This is a Spectral governance rule to make sure that all parameters have an example in an OpenAPI. Here is a JSON version of the rule that can be applied using this API-driven collection API, or at CLI or CI/CD pipeline.","{""description"":""Ensures that that all parameters have a examples."",""message"":""Your parameters all need examples."",""given"":""$.paths.*.*.parameters[?(@.example=='query')]"",""then"":[{""field"":""example"",""function"":""truthy""},{""field"":""examples"",""function"":""truthy""}]}",Your parameters all need examples,One or more parameter objects in an operations object in your API schema doesn't contain an example field.,Add an example field to provide your users with an example of the parameter's potential value.,API Operations,,Parameters,Examples,,
OpenAPI V3 - Request Body on POST,openapi-v3-request-body-on-post,error,"This is a Spectral governance rule to make sure that POST methods have a request body in an OpenAPI. Here is a JSON version of the rule that can be applied using this API-driven collection API, or at CLI or CI/CD pipeline.","{""description"":""Ensures that POST methods have request bodies."",""message"":""Your POST methods should have request bodies."",""given"":""$.paths.*.post"",""recommended"":true,""severity"":""error"",""then"":{""field"":""requestBody"",""function"":""truthy""}}",Your POST methods should have request bodies,One or more POST operation objects in your API schema doesn't contain a request body object.,A request body object contains a brief description of the response body and information about what a valid response body should look like. Add a request body object to any POST operation operation objects.,API Operations,,Methods,POST,Request Bodies,
OpenAPI V3 - Request Body on PUT,openapi-v3-request-body-on-put,error,"This is a Spectral governance rule to make sure that PUT methods have a request body in an OpenAPI. Here is a JSON version of the rule that can be applied using this API-driven collection API, or at CLI or CI/CD pipeline.","{""description"":""Ensures that PUT methods have request bodies."",""message"":""Your PUT methods should have request bodies."",""given"":""$.paths.*.put"",""recommended"":true,""severity"":""error"",""then"":{""field"":""requestBody"",""function"":""truthy""}}",Your PUT methods should have request bodies,One or more PUT operation objects in your API schema doesn't contain a request body object.,A request body object contains a brief description of the response body and information about what a valid response body should look like. Add a request body object to any POST operation operation objects.,API Operations,,Methods,PUT,Request Bodies,
OpenAPI V3 - Request Body on PATCH,openapi-v3-request-body-on-patch,error,"This is a Spectral governance rule to make sure that PATCH methods have a request body in an OpenAPI. Here is a JSON version of the rule that can be applied using this API-driven collection API, or at CLI or CI/CD pipeline.","{""description"":""Ensures that PATCH methods have request bodies."",""message"":""Your PATCH methods should have request bodies."",""given"":""$.paths.*.patch"",""recommended"":true,""severity"":""error"",""then"":{""field"":""requestBody"",""function"":""truthy""}}",Your PATCH methods should have request bodies,One or more PATCH operation objects in your API schema doesn't contain a request body object.,A request body object contains a brief description of the response body and information about what a valid response body should look like. Add a request body object to any POST operation operation objects.,API Operations,,Methods,PATCH,Request Bodies,
OpenAPI V3 Have Request Body Examples,openapi-v3-have-request-body-examples,error,"This is a Spectral governance rule to enforce that all OpenAPI request bodies have an example present, showing what is expected when a request body is submitted as part of an API request. Here is a JSON version of the rule that can be applied using this API-driven collection API, or at CLI or CI/CD pipeline.","{""severity"":""error"",""description"":""Ensures that a example is always present for each request body."",""message"":""All request bodies should have an example present."",""given"":""$.paths.*.*.requestBody..[?(@.items)][?(@.type == 'object')]"",""formats"":[""oas3""],""then"":[{""field"":""example"",""function"":""truthy""}]}",All request bodies should have an example present,One or more request body objects in your API schema doesn't contain at least one example.,An example shows your users what is expected when a request body is submitted as part of an API request. Add one or more examples to any body request objects.,API Operations,,Request Bodies,Examples,,
OpenAPI V3 - Responses Examples,openapi-v3-responses-examples,error,"This is a Spectral governance rule to make sure that all responses have examples in an OpenAPI. Here is a JSON version of the rule that can be applied using this API-driven collection API, or at CLI or CI/CD pipeline.","{""description"":""Ensuring all responses have examples defined."",""message"":""All your responses need to have examples defined."",""severity"":""error"",""given"":""$..responses..[?(@property !== 'properties' && @.examples)]"",""then"":{""function"":""schemaPath"",""functionOptions"":{""field"":""$.examples.*.value"",""schemaPath"":""$.schema""}}}",All your responses need to have examples defined,One or more response objects in your API schema doesn't contain an example.,An example shows your users the kind of response they can expect from the API. Add an example to any response objects.,API Operations,,Responses,Examples,,
OpenAPI V3 - Response DELETE 204 No Body,openapi-v3-response-delete-204-no-body,error,"This is a Spectral governance rule to make sure that DELETE methods do not have a response body in an OpenAPI. Here is a JSON version of the rule that can be applied using this API-driven collection API, or at CLI or CI/CD pipeline.","{""description"":""Ensures DELETE operations do not have a response body."",""message"":""A DELETE operation should not have a response body."",""severity"":""error"",""given"":""$paths.delete.responses.204"",""then"":{""field"":""content"",""function"":""falsy""}}",A DELETE operation should not have a response body,One or more DELETE operation objects in your API schema contains a response body.,Make sure that DELETE methods do not have a response body.,API Operations,,Operations,Responses,Status Codes,
OpenAPI V3 - Response DELETE 204 Status Code,openapi-v3-response-delete-204-status-code,warn,"This is a Spectral governance rule to make sure that DELETE methods all have a 204 status code response in an OpenAPI. Here is a JSON version of the rule that can be applied using this API-driven collection API, or at CLI or CI/CD pipeline.","{""description"":""Ensures DELETE operations have a 204 status code response."",""message"":""A DELETE operation should have a 204 status code for the response."",""severity"":""warn"",""formats"":[""oas2"",""oas3""],""given"":""$.paths[*].delete.responses"",""then"":{""field"":""204"",""function"":""truthy""}}",A DELETE operation should have a 204 status code for the response,The responses object for one or more DELETE operation objects in your API schema doesn't contain the 204 status code.,Make sure that DELETE methods all have a 204 status code response.,API Operations,,Operations,Responses,Status Codes,
OpenAPI V3 - Response DELETE 500 Status Code,openapi-v3-response-delete-500-status-code,warn,"This is a Spectral governance rule to make sure that DELETE methods all have a 500 status code response in an OpenAPI. Here is a JSON version of the rule that can be applied using this API-driven collection API, or at CLI or CI/CD pipeline.","{""description"":""Ensures DELETE operations have a 500 status code response."",""message"":""A DELETE operation should have a 500 status code for the response."",""severity"":""warn"",""formats"":[""oas2"",""oas3""],""given"":""$.paths[*].delete.responses"",""then"":{""field"":""500"",""function"":""truthy""}}",A DELETE operation should have a 500 status code for the response,The responses object for one or more DELETE operation objects in your API schema doesn't contain the 500 status code.,Make sure that DELETE methods all have a 500 status code response.,API Operations,,Operations,Responses,Status Codes,
OpenAPI V3 - Response GET 200 Status Code,openapi-v3-response-get-200-status-code,warn,"This is a Spectral governance rule to make sure that GET methods all have a 200 status code response in an OpenAPI. Here is a JSON version of the rule that can be applied using this API-driven collection API, or at CLI or CI/CD pipeline.","{""description"":""Ensures GET operations have a 200 status code response."",""message"":""A GET operation should have a 200 status code for the response."",""severity"":""warn"",""formats"":[""oas2"",""oas3""],""given"":""$.paths[*].get.responses"",""then"":{""field"":""200"",""function"":""truthy""}}",A GET operation should have a 200 status code for the response,The responses object for one or more GET operation objects in your API schema doesn't contain the 200 status code.,Make sure that GET methods all have a 200 status code response.,API Operations,,Operations,Responses,Status Codes,
OpenAPI V3 - Response GET 500 Status Code,openapi-v3-response-get-500-status-code,warn,"This is a Spectral governance rule to make sure that GET methods all have a 500 status code response in an OpenAPI. Here is a JSON version of the rule that can be applied using this API-driven collection API, or at CLI or CI/CD pipeline.","{""description"":""Ensures GET operations have a 500 status code response."",""message"":""A GET operation should have a 500 status code for the response."",""severity"":""warn"",""formats"":[""oas2"",""oas3""],""given"":""$.paths[*].get.responses"",""then"":{""field"":""500"",""function"":""truthy""}}",A GET operation should have a 500 status code for the response,The responses object for one or more GET operation objects in your API schema doesn't contain the 500 status code.,Make sure that GET methods all have a 500 status code response.,API Operations,,Operations,Responses,Status Codes,
OpenAPI V3 - Response PATCH 204 Status Code,openapi-v3-response-patch-204-status-code,warn,"This is a Spectral governance rule to make sure that PATCH methods all have a 204 status code response in an OpenAPI. Here is a JSON version of the rule that can be applied using this API-driven collection API, or at CLI or CI/CD pipeline.","{""description"":""Ensures PATCH operations have a 204 status code response."",""message"":""A PATCH operation should have a 204 status code for the response."",""severity"":""warn"",""formats"":[""oas2"",""oas3""],""given"":""$.paths[*].delete.responses"",""then"":{""field"":""204"",""function"":""truthy""}}",A PATCH operation should have a 200 status code for the response,The responses object for one or more PATCH operation objects in your API schema doesn't contain the 200 status code.,Make sure that PATCH methods all have a 200 status code response.,API Operations,,Operations,Responses,Status Codes,
OpenAPI V3 - Response PATCH 500 Status Code,openapi-v3-response-patch-500-status-code,warn,"This is a Spectral governance rule to make sure that PATCH methods all have a 500 status code response in an OpenAPI. Here is a JSON version of the rule that can be applied using this API-driven collection API, or at CLI or CI/CD pipeline.","{""description"":""Ensures PATCH operations have a 500 status code response."",""message"":""A PATCH operation should have a 500 status code for the response."",""severity"":""warn"",""formats"":[""oas2"",""oas3""],""given"":""$.paths[*].patch.responses"",""then"":{""field"":""500"",""function"":""truthy""}}",A PATCH operation should have a 500 status code for the response,The responses object for one or more PATCH operation objects in your API schema doesn't contain the 500 status code.,Make sure that PATCH methods all have a 500 status code response.,API Operations,,Operations,Responses,Status Codes,
OpenAPI V3 - Response POST 201 Status Code,openapi-v3-response-post-201-status-code,warn,"This is a Spectral governance rule to make sure that POST methods all have a 201 status code response in an OpenAPI. Here is a JSON version of the rule that can be applied using this API-driven collection API, or at CLI or CI/CD pipeline.","{""description"":""Ensures POST operations have a 201 status code response."",""message"":""A POST operation should have a 201 status code for the response."",""severity"":""warn"",""formats"":[""oas3""],""given"":""$.paths[*].post.responses"",""then"":{""field"":""201"",""function"":""truthy""}}",A POST operation should have a 201 status code for the response,The responses object for one or more POST operation objects in your API schema doesn't contain the 201 status code.,Make sure that POST methods all have a 201 status code response.,API Operations,,Operations,Responses,Status Codes,
OpenAPI V3 - Response POST 500 Status Code,openapi-v3-response-post-500-status-code,warn,"This is a Spectral governance rule to make sure that POST methods all have a 500 status code response in an OpenAPI. Here is a JSON version of the rule that can be applied using this API-driven collection API, or at CLI or CI/CD pipeline.","{""description"":""Ensures POST operations have a 500 status code response."",""message"":""A POST operation should have a 500 status code for the response."",""severity"":""warn"",""formats"":[""oas2"",""oas3""],""given"":""$.paths[*].post.responses"",""then"":{""field"":""500"",""function"":""truthy""}}",A POST operation should have a 500 status code for the response,The responses object for one or more POST operation objects in your API schema doesn't contain the 500 status code.,Make sure that POST methods all have a 500 status code response.,API Operations,,Operations,Responses,Status Codes,
OpenAPI V3 - Response PUT 204 Status Code,openapi-v3-response-put-204-status-code,warn,"This is a Spectral governance rule to make sure that PUT methods all have a 204 status code response in an OpenAPI. Here is a JSON version of the rule that can be applied using this API-driven collection API, or at CLI or CI/CD pipeline.","{""description"":""Ensures PUT operations have a 204 status code response."",""message"":""A PUT operation should have a 204 status code for the response."",""severity"":""warn"",""formats"":[""oas2"",""oas3""],""given"":""$.paths[*].delete.responses"",""then"":{""field"":""204"",""function"":""truthy""}}",A PUT operation should have a 200 status code for the response,The responses object for one or more PUT operation objects in your API schema doesn't contain the 200 status code.,Make sure that PUT methods all have a 200 status code response.,API Operations,,Operations,Responses,Status Codes,
OpenAPI V3 - Response PUT 500 Status Code,openapi-v3-response-put-500-status-code,warn,"This is a Spectral governance rule to make sure that PUT methods all have a 500 status code response in an OpenAPI. Here is a JSON version of the rule that can be applied using this API-driven collection API, or at CLI or CI/CD pipeline.","{""description"":""Ensures PUT operations have a 500 status code response."",""message"":""A PUT operation should have a 500 status code for the response."",""severity"":""warn"",""formats"":[""oas2"",""oas3""],""given"":""$.paths[*].put.responses"",""then"":{""field"":""500"",""function"":""truthy""}}",A PUT operation should have a 500 status code for the response,The responses object for one or more PUT operation objects in your API schema doesn't contain the 500 status code.,Make sure that PUT methods all have a 500 status code response.,API Operations,,Operations,Responses,Status Codes,
OpenAPI V3 Request Body Examples Components,openapi-v3-request-body-examples-components,error,"This is a Spectral governance rule to enforce that the OpenAPI request body examples are all centralized as a component. Here is a JSON version of the rule that can be applied using this API-driven collection API, or at CLI or CI/CD pipeline.","{""description"":""Check request bodies examples to ensure that they only have references to components."",""message"":""Request bodies examples should only reference components."",""severity"":""error"",""resolved"":false,""given"":[""$..requestBody.content..*.examples.$ref""],""then"":{""function"":""pattern"",""functionOptions"":{""match"":""#/components/""}}}",Request bodies examples should only reference components,Multiple request body objects in your API schema contain examples that should be consolidated into an examples section <!-- TODO: or should this be the requestBodies section? --> in the components object.,Consolidate all the examples from your request bodies into an examples section in the components object.,API Operations,,Components,Request Bodies,Examples,
OpenAPI V3 Request Body Schema Components,openapi-v3-request-body-schema-components,error,"This is a Spectral governance rule to enforce that the OpenAPI request body schema are all centralized as a component. Here is a JSON version of the rule that can be applied using this API-driven collection API, or at CLI or CI/CD pipeline.","{""description"":""Check request body schena to ensure that they only have references to components."",""message"":""Request body schema should only reference components."",""severity"":""error"",""resolved"":false,""given"":[""$..requestBody.content..*.schema.$ref""],""then"":{""function"":""pattern"",""functionOptions"":{""match"":""#/components/""}}}",Request body schema should only reference components,Multiple request body objects in your API schema contain schemas that should be consolidated into a schemas section in the components object.,Consolidate all the schemas from your request bodies into a schemas section in the components object.,API Models,,Components,Request Bodies,Schemas,
OpenAPI V3 Responses Examples Components,openapi-v3-responses-examples-components,error,"This is a Spectral governance rule to enforce that the OpenAPI response examples are all centralized as a component. Here is a JSON version of the rule that can be applied using this API-driven collection API, or at CLI or CI/CD pipeline.","{""description"":""Check response examples to ensure that they only have references to components."",""message"":""Response examples should only reference components."",""severity"":""error"",""resolved"":false,""given"":[""$..responses.*.content..*.examples.$ref""],""then"":{""function"":""pattern"",""functionOptions"":{""match"":""#/components/""}}}",Response examples should only reference components,Multiple response objects in your API schema contain examples that should be consolidated into an examples section in the components object.,Consolidate all the examples from your response objects into an examples section in the components object.,API Models,,Components,Responses,,
OpenAPI V3 Responses Schema Components,openapi-v3-responses-schema-components,error,"This is a Spectral governance rule to enforce that the OpenAPI response schema are all centralized as a component. Here is a JSON version of the rule that can be applied using this API-driven collection API, or at CLI or CI/CD pipeline.","{""description"":""Check response schema to ensure that they only have references to components."",""message"":""Response schema should only reference components."",""severity"":""error"",""resolved"":false,""given"":[""$..responses.*.content..*.schema.$ref""],""then"":{""function"":""pattern"",""functionOptions"":{""match"":""#/components/""}}}",Response schema should only reference components,Multiple response objects in your API schema contain schemas that should be consolidated into an schemas section in the components object.,Consolidate all the schemas from your response objects into a schemas section in the components object.,API Models,,Components,Responses,,
OpenAPI V3 - Schema Description,openapi-v3-schema-description,warn,"This is a Spectral governance rule to make sure that all schema in an OpenAPI have a description.. Here is a JSON version of the rule that can be applied using this API-driven collection API, or at CLI or CI/CD pipeline.","{""description"":""Ensure all schema properties should have a description."",""message"":""All schema should have descriptions."",""severity"":""warn"",""formats"":[""oas3""],""given"":""$.components.schemas.*"",""then"":{""field"":""description"",""function"":""truthy""}}",All schema should have descriptions,One or more schema objects in your API schema's components object doesn't contain a description.,Add a description for every schema object in your API schema.,API Models,,Schema,,,
